Area_Lote,Precio
6240,115000
11241,149000
10690,147000
9571,129000
7742,127000
8450,138500
8400,136500
6000,117000
13825,140000
8525,130000
10106,127500
7700,112500
8430,124000
7800,115000
7677,110000
12155,140000
10011,134450
6000,120000
8923,134500
9550,140000
11500,136905
5250,122000
10355,143000
8480,132500
9855,127500
7094,125000
14115,143000
8546,140000
10382,140000
8816,139000
9320,128950
19138,141000
8475,135750
10482,145000
5868,129000
1680,112000
6951,119500
10778,136500
17140,135000
9400,139000
9400,127500
8944,124000
13680,139600
5700,116900
10721,142000
5500,130000
13101,142600
10356,122000
8820,124900
12968,144000
1680,118000
6897,127000
11340,125000
9600,140000
8172,135000
5310,117000
13132,138887
5436,125500
14375,137500
8520,136000
7800,119900
1680,118000
7200,125000
7000,112000
7535,120000
8280,124000
8400,140000
9750,135500
7599,129500
9920,128000
8635,127000
12358,128500
10500,139000
9250,139400
7943,118500
8070,123600
8400,138500
10634,123000
7800,130000
11782,148000
9204,124000
7438,127000
12000,147000
9000,136000
4456,113000
12160,149500
9060,120000
11600,145250
10762,120000
9464,136000
7200,123000
6173,125500
10200,144900
9600,129500
1680,100000
11340,122500
13517,130500
7180,127000
8854,121000
3880,110500
8800,137500
5820,126175
10152,135000
11409,131000
9600,128000
7200,129000
9100,127500
9600,140000
10205,134500
10395,148000
6882,127000
10530,143250
7207,116500
6155,128000
10300,140000
9858,130000
7015,110000
9000,124000
8250,134000
7018,118964
12150,131500
14850,141000
7200,119000
5684,110000
12144,133000
6380,113000
8892,126500
12342,139900
9246,135000
7596,124500
9600,135000
12537,149900
1869,106000
8314,124500
6960,120500
10000,131400
10496,143000
10320,135000
13072,142500
7332,120000
8294,123000
7910,127000
7175,125000
15523,133500
2665,115000
8400,129000
17120,134432
16466,135500
8160,126000
9200,130250
7200,125500
17755,149900
10680,137900
7200,119000
1890,113000
2016,106000
7018,118858
10125,126000
8120,124500
7420,118000
8445,133000
7100,129900
15870,138800
9600,132000
11767,130500
12160,142000
7800,119900
6300,128000
8176,139000
7990,110000
10970,147000
11200,129500
11625,131500
12493,141000
3950,115000
10267,130000
11040,145000
10530,135000
9000,120500
6204,118500
13350,142500
6858,128000
7740,125500
10246,145000
7200,124900
6970,129000
11341,121500
8072,138000
10780,132500
10410,135000
10650,128200
9873,129000
6000,119000
9600,128900
10800,135000
11344,144000
3500,110000
6420,123500
9764,130000
9920,128500
8724,129000
9142,137000
9100,125000
6000,120000
10012,137500
8740,137000
10930,140000
7134,130000
13673,143900
6000,128000
9819,122000
8521,125000
